City_ID,City,Country,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng
106,Port Macquarie,AU,broken clouds,56.64,66,59,14.79,-31.4333,152.9167
107,Bowen,AU,clear sky,69.6,42,0,10.69,-20.0167,148.2333
108,Qaqortoq,GL,clear sky,42.01,86,1,1.88,60.7167,-46.0333
109,Nouadhibou,MR,few clouds,67.44,86,21,24.32,20.931,-17.0347
110,Bolobo,CD,overcast clouds,77.65,50,99,2.04,-2.1667,16.2333
111,Monze,ZM,scattered clouds,58.93,60,49,7.81,-16.2833,27.4833
112,Souillac,MU,light rain,71.98,73,40,13.8,-20.5167,57.5167
113,Thompson,CA,few clouds,57.36,72,20,0.0,55.7435,-97.8558
114,Castro,BR,scattered clouds,51.08,96,41,4.21,-24.7911,-50.0119
115,Poso,ID,overcast clouds,82.67,74,94,2.57,-1.3959,120.7524
116,Akyab,MM,broken clouds,84.6,76,64,20.47,20.15,92.9
117,Chuy,UY,clear sky,39.16,86,0,4.07,-33.6971,-53.4616
118,Manjacaze,MZ,clear sky,64.36,79,0,4.09,-24.7117,33.8828
119,Hermanus,ZA,clear sky,52.84,80,3,14.52,-34.4187,19.2345
120,Berlevag,NO,clear sky,69.8,52,0,11.5,70.8578,29.0864
121,Airai,TL,broken clouds,67.86,58,58,3.04,-8.9266,125.4092
122,Acapulco,MX,overcast clouds,82.22,74,100,2.3,16.8634,-99.8901
123,Esperance,AU,clear sky,65.03,42,0,8.75,-33.8667,121.9
124,Pacific Grove,US,overcast clouds,62.82,88,100,9.22,36.6177,-121.9166
125,East London,ZA,clear sky,52.74,66,0,8.05,-33.0153,27.9116
126,Placido De Castro,BR,few clouds,72.81,82,20,2.57,-10.3353,-67.1856
127,Along,IN,overcast clouds,87.96,67,100,0.81,28.1667,94.7667
128,Ngorongoro,TZ,overcast clouds,50.54,74,96,8.3,-3.2397,35.4875
129,Guerrero Negro,MX,scattered clouds,65.88,85,46,12.88,27.9769,-114.0611
130,Nikolskoye,RU,clear sky,70.88,70,8,7.09,59.7035,30.7861
131,Alta Floresta,BR,scattered clouds,71.56,56,32,3.78,-9.8756,-56.0861
132,Kimbe,PG,broken clouds,88.66,53,78,1.79,-5.5502,150.1429
133,Iwanai,JP,moderate rain,70.48,94,100,3.18,42.9744,140.5089
134,Meybod,IR,clear sky,87.82,12,0,15.26,32.2501,54.0166
135,Sorland,NO,broken clouds,55.26,81,78,25.08,67.667,12.6934
136,San Cristobal,VE,overcast clouds,71.78,94,88,4.05,7.7669,-72.225
137,North Platte,US,scattered clouds,73.38,61,40,13.0,41.1239,-100.7654
138,Morant Bay,JM,overcast clouds,83.82,87,86,11.81,17.8815,-76.4093
139,Arraial Do Cabo,BR,scattered clouds,69.71,87,48,9.15,-22.9661,-42.0278
140,Lagoa,PT,overcast clouds,68.74,94,93,10.31,39.05,-27.9833
141,Avarua,CK,broken clouds,73.45,78,75,5.75,-21.2078,-159.775
142,Krasnoselkup,RU,scattered clouds,59.86,42,34,14.61,65.7,82.4667
143,Tuatapere,NZ,overcast clouds,43.72,95,100,11.27,-46.1333,167.6833
144,San Patricio,US,clear sky,85.84,84,2,7.25,28.017,-97.5169
145,Kadoshkino,RU,light rain,70.29,72,96,7.45,54.0257,44.4191
146,Ereymentau,KZ,broken clouds,76.08,41,79,10.36,51.6199,73.1033
147,Wuan,CN,broken clouds,98.47,50,70,6.76,31.6836,112.0044
148,Evensk,RU,scattered clouds,56.55,84,47,6.98,61.95,159.2333
149,Torbay,CA,mist,57.27,94,100,13.8,47.6666,-52.7314
150,Pundaguitan,PH,overcast clouds,78.96,84,98,5.79,6.3711,126.1689
151,Tocopilla,CL,overcast clouds,57.33,72,93,4.97,-22.092,-70.1979
152,Saskylakh,RU,overcast clouds,56.61,41,93,11.92,71.9167,114.0833
153,Port Hueneme,US,overcast clouds,66.96,88,100,8.05,34.1478,-119.1951
154,Cape Town,ZA,broken clouds,56.88,81,75,14.97,-33.9258,18.4232
155,Ahipara,NZ,moderate rain,57.65,83,90,11.61,-35.1667,173.1667
156,College,US,smoke,76.98,48,75,8.05,64.8569,-147.8028
157,Mogadishu,SO,broken clouds,75.07,78,75,13.8,2.0371,45.3438
158,Hami,CN,broken clouds,94.15,13,68,5.61,42.8,93.45
159,Mazatlan,MX,broken clouds,85.01,81,75,5.75,23.2167,-106.4167
160,Harrisburg,US,clear sky,71.98,91,0,6.91,40.2737,-76.8844
161,Severo-Kurilsk,RU,broken clouds,55.65,92,69,1.19,50.6789,156.125
162,Christchurch,NZ,overcast clouds,51.91,72,100,10.36,-43.5333,172.6333
163,Praia Da Vitoria,PT,broken clouds,72.75,94,75,12.19,38.7333,-27.0667
164,Korla,CN,scattered clouds,88.0,16,33,12.37,41.7597,86.1469
165,Aklavik,CA,broken clouds,45.66,69,53,14.09,68.2191,-135.0107
166,Poum,NC,moderate rain,77.09,87,57,19.69,-20.2333,164.0167
167,Blackfoot,US,scattered clouds,79.88,23,48,3.02,43.1905,-112.345
168,Umm Lajj,SA,overcast clouds,89.26,49,88,6.38,25.0213,37.2685
169,Taunggyi,MM,broken clouds,76.08,75,70,2.53,20.7833,97.0333
170,Port Lincoln,AU,overcast clouds,58.15,58,99,3.56,-34.7333,135.8667
171,Ambon,ID,broken clouds,78.24,15,75,3.44,-3.6954,128.1814
172,Flinders,AU,light rain,58.17,65,90,8.01,-34.5833,150.8552
173,Lichinga,MZ,scattered clouds,53.69,100,40,11.5,-13.3128,35.2406
174,Ushumun,RU,overcast clouds,82.08,49,99,8.55,52.7833,126.5333
175,Beira,MZ,mist,62.69,100,20,5.75,-19.8436,34.8389
176,Chimoio,MZ,fog,60.66,100,75,0.83,-19.1164,33.4833
177,Yumen,CN,scattered clouds,91.62,18,31,14.79,40.2833,97.2
178,Shizuishan,CN,few clouds,92.35,25,19,7.14,39.2333,106.7694
179,Erzin,TR,few clouds,81.77,63,23,5.46,36.9559,36.2
180,Tromso,NO,clear sky,63.37,72,0,6.91,69.6496,18.957
181,Nome,US,clear sky,63.16,70,0,17.27,64.5011,-165.4064
182,Benguela,AO,clear sky,67.1,89,1,1.5,-12.5763,13.4055
183,Kangaatsiaq,GL,overcast clouds,41.4,83,95,6.64,68.3065,-53.4641
184,Whyalla,AU,broken clouds,55.47,61,69,12.37,-33.0333,137.5833
185,Maragogi,BR,few clouds,73.85,89,20,5.84,-9.0122,-35.2225
186,Derzhavinsk,KZ,broken clouds,82.76,36,63,3.22,51.1,66.3167
187,Kavieng,PG,broken clouds,84.29,72,61,9.35,-2.5744,150.7967
188,Tonantins,BR,overcast clouds,71.62,98,98,1.28,-2.8731,-67.8022
189,Marzuq,YE,broken clouds,84.54,27,81,11.1,14.4,46.4667
190,Ganzhou,CN,overcast clouds,96.94,52,90,10.16,28.8184,115.4327
191,Gnjilane,XK,few clouds,61.59,65,22,3.44,42.4604,21.4699
192,Broome,US,clear sky,67.01,87,0,3.44,42.2506,-75.833
193,Mackay,AU,clear sky,66.22,46,0,8.9,-21.15,149.2
194,Matay,EG,clear sky,79.74,45,1,18.45,28.419,30.7792
195,Zhaoyuan,CN,overcast clouds,75.78,93,100,14.23,37.3592,120.3964
196,Kavaratti,IN,overcast clouds,81.5,81,100,18.25,10.5669,72.642
197,Plettenberg Bay,ZA,clear sky,52.59,63,0,6.31,-34.0527,23.3716
198,Port Hardy,CA,scattered clouds,53.78,82,40,2.3,50.6996,-127.4199
199,Tongchuan,CN,overcast clouds,76.32,86,100,2.04,35.0806,109.0897
200,Freeport,US,scattered clouds,80.96,71,40,9.22,40.6576,-73.5832
201,Norman Wells,CA,overcast clouds,55.44,88,100,17.27,65.282,-126.8329
202,Kaniv,UA,overcast clouds,63.84,53,100,19.84,49.7518,31.46
203,Acari,PE,scattered clouds,62.69,71,45,1.45,-15.4311,-74.6158
204,Burgeo,CA,broken clouds,57.47,97,83,12.19,47.6167,-57.6152
205,High Level,CA,clear sky,62.71,63,0,8.05,58.5169,-117.136
206,Buchanan,LR,light rain,74.97,89,96,7.18,5.8808,-10.0467
207,La Ronge,CA,few clouds,71.85,56,20,10.36,55.1001,-105.2842
208,Jogindarnagar,IN,scattered clouds,82.4,74,42,5.5,31.9833,76.7667
209,Hamilton,US,clear sky,70.88,81,0,0.0,39.1834,-84.5333
210,Ondjiva,AO,clear sky,51.89,50,0,6.38,-17.0667,15.7333
211,Kaura Namoda,NG,overcast clouds,77.52,82,85,10.6,12.5898,6.5779
212,Creel,MX,overcast clouds,60.91,67,91,2.08,27.75,-107.6333
213,Luau,AO,clear sky,59.02,48,0,5.1,-10.7073,22.2247
214,Saint-Philippe,RE,light rain,72.21,74,44,15.01,-21.3585,55.7679
215,Havoysund,NO,scattered clouds,68.23,61,31,15.19,70.9963,24.6622
216,Peterhead,GB,few clouds,56.44,73,22,13.4,57.5058,-1.7981
217,Darhan,MN,clear sky,78.67,39,0,6.85,49.4867,105.9228
218,Muroto,JP,overcast clouds,80.55,74,99,4.68,33.2833,134.15
219,Kahului,US,scattered clouds,80.62,78,40,20.71,20.8947,-156.47
220,Sao Borja,BR,clear sky,42.94,88,0,6.46,-28.6606,-56.0044
221,Victoria,HK,scattered clouds,92.03,63,39,7.0,22.2855,114.1577
222,Maragheh,IR,clear sky,82.67,23,0,19.57,37.3917,46.2398
223,Ginir,ET,broken clouds,61.97,63,63,12.88,7.1333,40.7
224,Eureka,US,overcast clouds,58.62,86,95,8.01,40.8021,-124.1637
225,Salalah,OM,haze,77.09,100,100,3.44,17.0151,54.0924
226,Oxford,GB,clear sky,69.06,87,0,3.44,51.7522,-1.256
227,Sobolevo,RU,moderate rain,52.92,93,100,17.02,54.4299,31.8996
228,Jesus Carranza,MX,overcast clouds,75.4,93,100,8.3,17.4333,-95.0333
229,Bilibino,RU,broken clouds,65.16,56,66,7.36,68.0546,166.4372
230,Jiazi,CN,few clouds,88.05,65,21,7.52,22.8779,116.067
231,Antrim,GB,few clouds,54.97,87,20,8.05,54.6667,-6.25
232,Dutlwe,BW,clear sky,54.01,46,5,8.39,-23.9833,23.9
233,Valleyview,CA,overcast clouds,53.64,87,98,4.61,55.0667,-117.2859
234,Nanortalik,GL,few clouds,41.14,93,14,9.17,60.1432,-45.2371
235,Upata,VE,overcast clouds,73.18,96,96,5.26,8.0086,-62.3989
236,Huarmey,PE,clear sky,60.84,87,1,9.31,-10.0681,-78.1522
237,Dubti,ET,overcast clouds,89.62,36,91,10.58,11.7361,41.0853
238,Ust-Kut,RU,broken clouds,71.55,45,60,2.35,56.7938,105.7672
239,Cornwall,CA,overcast clouds,65.44,88,100,0.0,45.0181,-74.7281
240,Nagarote,NI,overcast clouds,76.68,78,87,7.07,12.2659,-86.5647
241,Kloulklubed,PW,broken clouds,82.9,75,61,10.65,7.0419,134.2556
242,Kashi,CN,scattered clouds,81.61,12,40,4.47,39.4547,75.9797
243,Hasaki,JP,light rain,77.4,92,100,7.96,35.7333,140.8333
244,Nijmegen,NL,overcast clouds,72.16,76,94,9.28,51.8333,5.85
245,Ribeira Grande,PT,broken clouds,69.84,93,79,9.17,38.5167,-28.7
246,Progreso,MX,overcast clouds,82.51,73,98,8.25,21.2833,-89.6667
247,Kaitangata,NZ,light rain,42.51,96,100,14.65,-46.2817,169.8464
248,Cherskiy,RU,broken clouds,58.23,57,69,12.88,68.75,161.3
249,Zhigansk,RU,scattered clouds,72.07,52,41,10.02,66.7697,123.3711
250,Axim,GH,overcast clouds,74.86,82,100,6.38,4.8699,-2.2405
251,Pochutla,MX,overcast clouds,76.82,94,100,4.59,15.7432,-96.4661
252,Vardo,NO,fog,51.78,100,100,9.22,70.3705,31.1107
253,Yar-Sale,RU,overcast clouds,60.85,44,94,10.94,66.8333,70.8333
254,Kitimat,CA,light rain,52.18,25,100,2.17,54.0524,-128.6534
255,Honiara,SB,broken clouds,81.91,77,67,5.77,-9.4333,159.95
256,Kutum,SD,light rain,74.03,72,86,13.58,14.2,24.6667
257,Ucluelet,CA,overcast clouds,56.08,86,96,4.0,48.9329,-125.5528
258,Marystown,CA,broken clouds,58.86,100,72,6.71,47.1666,-55.1483
259,Avera,US,overcast clouds,76.55,85,100,6.06,33.194,-82.5271
260,Yerbogachen,RU,broken clouds,61.97,41,73,5.64,61.2767,108.0108
261,Shirokiy,RU,broken clouds,80.49,68,55,8.9,49.758,129.523
