City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Acapulco,MX,2022-05-26 02:27:44,16.8634,-99.8901,80.42,74,75,0.0
94,Manali,IN,2022-05-26 02:29:36,13.1667,80.2667,86.09,82,71,15.41
95,Nokaneng,BW,2022-05-26 02:29:36,-19.6667,22.2667,54.64,50,0,3.38
96,Bluff,NZ,2022-05-26 02:29:36,-46.6,168.3333,49.8,61,36,4.07
97,Port Alfred,ZA,2022-05-26 02:29:37,-33.5906,26.891,59.18,94,96,1.99
98,Lavumisa,SZ,2022-05-26 02:29:37,-27.31,31.892,59.47,70,0,4.5
99,Avarua,CK,2022-05-26 02:29:37,-21.2078,-159.775,78.85,74,24,3.31
100,Mataura,NZ,2022-05-26 02:29:38,-46.1927,168.8643,49.48,65,20,3.0
101,Nikolskoye,RU,2022-05-26 02:29:38,59.7035,30.7861,44.8,85,98,5.82
102,Port Moresby,PG,2022-05-26 02:25:15,-9.4431,147.1797,80.02,78,75,11.5
103,Ixtapa,MX,2022-05-26 02:29:39,20.7,-105.2,79.23,78,0,10.36
104,Tadine,NC,2022-05-26 02:29:39,-21.55,167.8833,77.81,69,14,1.28
105,Lypova Dolyna,UA,2022-05-26 02:29:40,50.5643,33.7979,52.38,70,73,8.84
106,Puerto Ayora,EC,2022-05-26 02:29:40,-0.7393,-90.3518,71.55,95,16,8.25
107,Orbetello,IT,2022-05-26 02:29:41,42.4408,11.2196,64.42,84,100,3.31
108,Kavieng,PG,2022-05-26 02:29:41,-2.5744,150.7967,83.71,67,100,4.16
109,Berlevag,NO,2022-05-26 02:29:41,70.8578,29.0864,46.2,76,84,8.05
110,Tukrah,LY,2022-05-26 02:29:42,32.5341,20.5791,75.92,34,0,8.97
111,Sabanagrande,CO,2022-05-26 02:29:42,10.7912,-74.7606,82.49,83,75,6.91
112,Victoria,HK,2022-05-26 02:29:16,22.2855,114.1577,85.96,88,41,10.0
113,Maceio,BR,2022-05-26 02:27:12,-9.6658,-35.7353,72.84,94,75,1.14
114,Nueva Loja,EC,2022-05-26 02:29:43,0.0847,-76.8828,70.14,93,100,1.05
115,Kaeo,NZ,2022-05-26 02:29:43,-35.1,173.7833,68.32,63,19,2.1
